epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,595.367,1.87232,2.73118,1.78631,0.50737,0.56974,0.54209,0.27263,1.69982,1.55438,1.63048,0.00331683,0.00331683,0.00331683
2,1172.21,1.7248,1.65175,1.64894,0.45444,0.52775,0.42103,0.19199,1.75693,1.96517,1.67973,0.00663243,0.00663243,0.00663243
3,1750.02,1.81524,1.79175,1.7279,0.48518,0.39953,0.35798,0.14344,2.17778,2.21688,2.14502,0.00993025,0.00993025,0.00993025
4,2335.78,1.92736,2.04356,1.8652,0.24388,0.23404,0.16976,0.07258,2.44455,3.8271,2.40125,0.00992,0.00992,0.00992
5,2496.82,1.88401,1.92642,1.84226,0.52201,0.40898,0.38635,0.1689,1.97836,2.29927,1.99328,0.00989333,0.00989333,0.00989333
6,2737.15,1.83686,1.84187,1.81694,0.51686,0.41983,0.42827,0.19286,1.90752,2.03809,1.90502,0.00986667,0.00986667,0.00986667
7,2884.98,1.79189,1.74359,1.76284,0.61035,0.50591,0.52411,0.23406,1.92158,1.75773,1.9038,0.00984,0.00984,0.00984
8,3102.52,1.74902,1.71416,1.73862,0.66181,0.49963,0.59444,0.28637,1.75981,1.5173,1.8251,0.00981333,0.00981333,0.00981333
9,3318.84,1.73271,1.64355,1.72605,0.65489,0.6052,0.64907,0.34585,1.65267,1.38315,1.68532,0.00978667,0.00978667,0.00978667
10,3543.54,1.70156,1.60342,1.69771,0.62525,0.47754,0.52073,0.25739,1.81783,1.95836,1.88272,0.00976,0.00976,0.00976
11,3679.39,1.68059,1.5559,1.68895,0.69148,0.64112,0.63361,0.33573,1.65035,1.39308,1.69955,0.00973333,0.00973333,0.00973333
12,3887.48,1.65065,1.51542,1.66858,0.64063,0.65485,0.67336,0.36185,1.66814,1.30185,1.7214,0.00970667,0.00970667,0.00970667
13,4044.77,1.64017,1.49858,1.6563,0.64103,0.59102,0.64785,0.32077,1.64613,1.32636,1.67123,0.00968,0.00968,0.00968
14,4251.09,1.62174,1.458,1.63076,0.66018,0.65957,0.66237,0.35387,1.5648,1.24764,1.62482,0.00965333,0.00965333,0.00965333
