epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.068,1.36368,2.66612,1.61887,0.06713,0.13372,0.04927,0.01495,2.50244,8.89174,3.50261,0.00055164,0.00055164,0.00055164
2,932.957,1.57346,2.14132,1.79005,0.20982,0.21439,0.12999,0.05403,2.18554,3.67819,2.60606,0.00108959,0.00108959,0.00108959
3,1333.23,1.52576,2.06817,1.77392,0.18545,0.30243,0.11138,0.04615,2.21077,5.94412,2.55771,0.00160976,0.00160976,0.00160976
4,1651.59,1.48565,2.01598,1.74191,0.38365,0.37555,0.30387,0.15599,1.82789,3.2547,2.30325,0.00158698,0.00158698,0.00158698
5,1961.48,1.39599,1.85683,1.67108,0.49376,0.35976,0.33516,0.1589,1.87782,2.49605,2.32012,0.00156031,0.00156031,0.00156031
6,2350.55,1.36938,1.7881,1.63567,0.48283,0.42254,0.43116,0.25276,1.62791,1.99143,2.06008,0.00153364,0.00153364,0.00153364
7,2806.03,1.30833,1.67685,1.6002,0.65484,0.50246,0.57132,0.35234,1.48917,1.72388,1.88789,0.00150697,0.00150697,0.00150697
8,3121.63,1.28022,1.5937,1.56863,0.60608,0.51365,0.5321,0.35202,1.37374,1.732,1.73858,0.0014803,0.0014803,0.0014803
9,3454.92,1.23838,1.53819,1.53371,0.73385,0.59013,0.67314,0.4363,1.32068,1.36803,1.70184,0.00145362,0.00145362,0.00145362
10,3668.09,1.22111,1.47072,1.5178,0.69239,0.59345,0.66316,0.44065,1.25527,1.32839,1.60918,0.00142695,0.00142695,0.00142695
11,3883.03,1.16683,1.4126,1.47732,0.70245,0.60073,0.6858,0.44813,1.25365,1.29478,1.61165,0.00140028,0.00140028,0.00140028
12,4094.63,1.17493,1.40525,1.47743,0.77702,0.54293,0.66529,0.44369,1.26026,1.36113,1.60116,0.00137361,0.00137361,0.00137361
13,4402.51,1.1713,1.38269,1.48184,0.675,0.60275,0.67629,0.4466,1.2778,1.29111,1.61696,0.00134694,0.00134694,0.00134694
14,4696.98,1.11136,1.29743,1.44172,0.80216,0.64078,0.75371,0.51464,1.18233,1.16486,1.55541,0.00132026,0.00132026,0.00132026
15,4910.09,1.10565,1.26466,1.42889,0.81852,0.64503,0.76334,0.50329,1.23516,1.11935,1.60279,0.00129359,0.00129359,0.00129359
16,5122.87,1.12053,1.26815,1.43172,0.79337,0.63737,0.76102,0.51044,1.20126,1.15083,1.56891,0.00126692,0.00126692,0.00126692
17,5336.33,1.10867,1.23972,1.41995,0.7822,0.65402,0.76687,0.52957,1.16788,1.09196,1.51545,0.00124025,0.00124025,0.00124025
18,5684.32,1.0687,1.19292,1.3991,0.77426,0.70746,0.78715,0.53281,1.14523,1.05118,1.50008,0.00121358,0.00121358,0.00121358
19,5992.15,1.06218,1.1806,1.39239,0.83373,0.64633,0.77149,0.53163,1.14216,1.06309,1.49379,0.0011869,0.0011869,0.0011869
20,6340.65,1.06259,1.14286,1.38265,0.79293,0.71742,0.79762,0.55425,1.11272,1.01822,1.46673,0.00116023,0.00116023,0.00116023
21,6554.18,1.05632,1.14009,1.38567,0.79889,0.68632,0.78317,0.54272,1.11869,1.04996,1.47251,0.00113356,0.00113356,0.00113356
22,6875.22,1.04671,1.12842,1.37003,0.83206,0.72903,0.82483,0.57934,1.07833,0.95209,1.43668,0.00110689,0.00110689,0.00110689
23,7212.09,1.02998,1.1106,1.36338,0.82653,0.72733,0.81892,0.56546,1.07754,0.95093,1.43415,0.00108022,0.00108022,0.00108022
24,7505.36,1.01618,1.07856,1.36039,0.81164,0.74751,0.83039,0.58316,1.06665,0.93583,1.41161,0.00105354,0.00105354,0.00105354
25,7719.4,1.00544,1.07973,1.35136,0.85586,0.72153,0.83012,0.57928,1.07236,0.95833,1.42161,0.00102687,0.00102687,0.00102687
26,7931.86,1.00971,1.05665,1.34373,0.86957,0.75061,0.85035,0.59423,1.07745,0.87653,1.41583,0.0010002,0.0010002,0.0010002
27,8143.84,1.01189,1.05847,1.34294,0.8585,0.75312,0.8501,0.58849,1.07948,0.88036,1.41012,0.000973528,0.000973528,0.000973528
28,8487.5,0.99867,1.02639,1.33331,0.84962,0.76808,0.86067,0.6052,1.03798,0.85633,1.38344,0.000946856,0.000946856,0.000946856
29,8699.32,0.98405,0.99362,1.32502,0.85346,0.75308,0.84788,0.60151,1.02915,0.87742,1.36744,0.000920184,0.000920184,0.000920184
30,8911.18,0.99051,1.02722,1.32538,0.88367,0.73651,0.86913,0.61021,1.04592,0.84832,1.3805,0.000893512,0.000893512,0.000893512
31,9122.43,0.97101,0.99516,1.31577,0.84191,0.75644,0.86047,0.61146,1.03274,0.81494,1.3746,0.00086684,0.00086684,0.00086684
32,9445.16,0.95659,0.977,1.30646,0.8848,0.7606,0.87324,0.61825,1.00029,0.79386,1.34914,0.000840168,0.000840168,0.000840168
33,9765.51,0.95472,0.96001,1.30466,0.85868,0.78125,0.87263,0.62551,1.0173,0.80417,1.358,0.000813496,0.000813496,0.000813496
34,10115.6,0.9537,0.95437,1.29251,0.85411,0.78822,0.87069,0.61942,1.0276,0.8084,1.36662,0.000786824,0.000786824,0.000786824
35,10414,0.94615,0.92922,1.28855,0.87127,0.79288,0.88518,0.63508,0.99219,0.76644,1.33951,0.000760152,0.000760152,0.000760152
36,10617,0.93253,0.92027,1.28744,0.87743,0.776,0.87046,0.63232,0.98966,0.78362,1.32941,0.00073348,0.00073348,0.00073348
37,10901.1,0.93131,0.91299,1.2824,0.8793,0.79701,0.89173,0.63585,1.01188,0.75554,1.35772,0.000706808,0.000706808,0.000706808
38,11102.7,0.91795,0.8867,1.27118,0.86782,0.7897,0.88091,0.6485,0.97816,0.74109,1.31636,0.000680136,0.000680136,0.000680136
39,11303.9,0.91672,0.87455,1.26593,0.88082,0.82211,0.89748,0.65522,0.95495,0.7294,1.29646,0.000653464,0.000653464,0.000653464
40,11505,0.91242,0.87726,1.26554,0.89126,0.7945,0.89176,0.64429,0.99326,0.74593,1.32642,0.000626792,0.000626792,0.000626792
41,11746.9,0.88036,0.73855,1.2706,0.9145,0.78388,0.89223,0.65434,0.98347,0.72845,1.32243,0.00060012,0.00060012,0.00060012
42,12047.3,0.84626,0.68451,1.23316,0.87723,0.81214,0.89436,0.65873,0.96163,0.71736,1.30226,0.000573448,0.000573448,0.000573448
43,12250.5,0.83083,0.65875,1.22408,0.87523,0.8138,0.89412,0.66242,0.95383,0.7124,1.28711,0.000546776,0.000546776,0.000546776
44,12451.2,0.82252,0.63782,1.21957,0.88223,0.82015,0.90052,0.66345,0.95914,0.69724,1.29628,0.000520104,0.000520104,0.000520104
45,12652.3,0.81757,0.64327,1.2146,0.89073,0.81528,0.90587,0.6626,0.959,0.68841,1.29585,0.000493432,0.000493432,0.000493432
46,12940.4,0.80271,0.61142,1.20681,0.88666,0.82224,0.90511,0.66813,0.9338,0.69205,1.27085,0.00046676,0.00046676,0.00046676
47,13139,0.78968,0.59669,1.19251,0.91907,0.80427,0.90621,0.67959,0.92413,0.68218,1.26505,0.000440088,0.000440088,0.000440088
48,13337.8,0.78029,0.56735,1.18226,0.90489,0.83818,0.91149,0.68659,0.92395,0.66848,1.25779,0.000413416,0.000413416,0.000413416
49,13537,0.77253,0.55584,1.18844,0.89717,0.83646,0.91162,0.67895,0.93284,0.65417,1.28099,0.000386744,0.000386744,0.000386744
50,13737.2,0.76535,0.55175,1.1711,0.90844,0.81578,0.90841,0.68259,0.93195,0.6454,1.27614,0.000360072,0.000360072,0.000360072
